127.0.0.1 - - [05/Jan/2024:08:44:03 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [05/Jan/2024:08:44:07 +0700] "GET /ShopLaptop/views/client/css/ajax-loader.gif HTTP/1.1" 404 810
0:0:0:0:0:0:0:1 - - [05/Jan/2024:08:44:07 +0700] "GET /ShopLaptop/home HTTP/1.1" 200 54587
0:0:0:0:0:0:0:1 - - [05/Jan/2024:08:44:07 +0700] "GET /ShopLaptop/views/client/fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jan/2024:08:44:08 +0700] "GET /ShopLaptop/views/client/css/ajax-loader.gif HTTP/1.1" 404 810
0:0:0:0:0:0:0:1 - - [05/Jan/2024:08:44:08 +0700] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [05/Jan/2024:08:44:13 +0700] "GET /ShopLaptop/home HTTP/1.1" 200 56171
0:0:0:0:0:0:0:1 - - [05/Jan/2024:08:44:13 +0700] "GET /ShopLaptop/views/admin;jsessionid=65A2855EAC40143061E81520A707BE45/css/bootstrap.min.css HTTP/1.1" 200 121200
0:0:0:0:0:0:0:1 - - [05/Jan/2024:08:44:13 +0700] "GET /ShopLaptop/views/admin;jsessionid=65A2855EAC40143061E81520A707BE45/css/slick.css HTTP/1.1" 200 1776
0:0:0:0:0:0:0:1 - - [05/Jan/2024:08:44:13 +0700] "GET /ShopLaptop/views/admin;jsessionid=65A2855EAC40143061E81520A707BE45/css/slick-theme.css HTTP/1.1" 200 3145
0:0:0:0:0:0:0:1 - - [05/Jan/2024:08:44:13 +0700] "GET /ShopLaptop/views/admin;jsessionid=65A2855EAC40143061E81520A707BE45/css/nouislider.min.css HTTP/1.1" 200 3555
0:0:0:0:0:0:0:1 - - [05/Jan/2024:08:44:13 +0700] "GET /ShopLaptop/views/admin;jsessionid=65A2855EAC40143061E81520A707BE45/css/font-awesome.min.css HTTP/1.1" 200 31000
0:0:0:0:0:0:0:1 - - [05/Jan/2024:08:44:13 +0700] "GET /ShopLaptop/views/admin;jsessionid=65A2855EAC40143061E81520A707BE45/css/style.css HTTP/1.1" 200 39529
0:0:0:0:0:0:0:1 - - [05/Jan/2024:08:44:13 +0700] "GET /ShopLaptop/views/client;jsessionid=65A2855EAC40143061E81520A707BE45/css/bootstrap.min.css HTTP/1.1" 200 121200
0:0:0:0:0:0:0:1 - - [05/Jan/2024:08:44:13 +0700] "GET /ShopLaptop/views/client;jsessionid=65A2855EAC40143061E81520A707BE45/css/slick-theme.css HTTP/1.1" 200 3145
0:0:0:0:0:0:0:1 - - [05/Jan/2024:08:44:13 +0700] "GET /ShopLaptop/views/client;jsessionid=65A2855EAC40143061E81520A707BE45/css/slick.css HTTP/1.1" 200 1776
0:0:0:0:0:0:0:1 - - [05/Jan/2024:08:44:13 +0700] "GET /ShopLaptop/views/client;jsessionid=65A2855EAC40143061E81520A707BE45/css/nouislider.min.css HTTP/1.1" 200 3555
0:0:0:0:0:0:0:1 - - [05/Jan/2024:08:44:13 +0700] "GET /ShopLaptop/views/client;jsessionid=65A2855EAC40143061E81520A707BE45/js/jquery.min.js HTTP/1.1" 200 85578
0:0:0:0:0:0:0:1 - - [05/Jan/2024:08:44:13 +0700] "GET /ShopLaptop/views/client;jsessionid=65A2855EAC40143061E81520A707BE45/js/bootstrap.min.js HTTP/1.1" 200 37045
0:0:0:0:0:0:0:1 - - [05/Jan/2024:08:44:13 +0700] "GET /ShopLaptop/views/client;jsessionid=65A2855EAC40143061E81520A707BE45/css/font-awesome.min.css HTTP/1.1" 200 31000
0:0:0:0:0:0:0:1 - - [05/Jan/2024:08:44:13 +0700] "GET /ShopLaptop/views/client;jsessionid=65A2855EAC40143061E81520A707BE45/css/style.css HTTP/1.1" 200 39529
0:0:0:0:0:0:0:1 - - [05/Jan/2024:08:44:13 +0700] "GET /ShopLaptop/views/client;jsessionid=65A2855EAC40143061E81520A707BE45/js/slick.min.js HTTP/1.1" 200 42863
0:0:0:0:0:0:0:1 - - [05/Jan/2024:08:44:13 +0700] "GET /ShopLaptop/views/client;jsessionid=65A2855EAC40143061E81520A707BE45/js/nouislider.min.js HTTP/1.1" 200 21184
0:0:0:0:0:0:0:1 - - [05/Jan/2024:08:44:13 +0700] "GET /ShopLaptop/views/client;jsessionid=65A2855EAC40143061E81520A707BE45/js/jquery.zoom.min.js HTTP/1.1" 200 2607
0:0:0:0:0:0:0:1 - - [05/Jan/2024:08:44:13 +0700] "GET /ShopLaptop/views/admin;jsessionid=65A2855EAC40143061E81520A707BE45/js/jquery.min.js HTTP/1.1" 200 85578
0:0:0:0:0:0:0:1 - - [05/Jan/2024:08:44:13 +0700] "GET /ShopLaptop/views/client;jsessionid=65A2855EAC40143061E81520A707BE45/js/main.js HTTP/1.1" 200 3620
0:0:0:0:0:0:0:1 - - [05/Jan/2024:08:44:13 +0700] "GET /ShopLaptop/views/admin;jsessionid=65A2855EAC40143061E81520A707BE45/js/bootstrap.min.js HTTP/1.1" 200 37045
0:0:0:0:0:0:0:1 - - [05/Jan/2024:08:44:13 +0700] "GET /ShopLaptop/views/admin;jsessionid=65A2855EAC40143061E81520A707BE45/js/slick.min.js HTTP/1.1" 200 42863
0:0:0:0:0:0:0:1 - - [05/Jan/2024:08:44:13 +0700] "GET /ShopLaptop/views/admin;jsessionid=65A2855EAC40143061E81520A707BE45/js/jquery.zoom.min.js HTTP/1.1" 200 2607
0:0:0:0:0:0:0:1 - - [05/Jan/2024:08:44:13 +0700] "GET /ShopLaptop/views/admin;jsessionid=65A2855EAC40143061E81520A707BE45/js/nouislider.min.js HTTP/1.1" 200 21184
0:0:0:0:0:0:0:1 - - [05/Jan/2024:08:44:13 +0700] "GET /ShopLaptop/views/admin;jsessionid=65A2855EAC40143061E81520A707BE45/js/main.js HTTP/1.1" 200 3620
0:0:0:0:0:0:0:1 - - [05/Jan/2024:08:44:13 +0700] "GET /ShopLaptop/image/Screenshot%202023-12-13%20094333.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jan/2024:08:44:13 +0700] "GET /ShopLaptop/views/client;jsessionid=65A2855EAC40143061E81520A707BE45/fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1" 200 77160
0:0:0:0:0:0:0:1 - - [05/Jan/2024:08:44:14 +0700] "GET /ShopLaptop/views/client;jsessionid=65A2855EAC40143061E81520A707BE45/css/ajax-loader.gif HTTP/1.1" 404 854
0:0:0:0:0:0:0:1 - - [05/Jan/2024:08:44:14 +0700] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [05/Jan/2024:08:44:29 +0700] "GET /ShopLaptop/list_product?id=1 HTTP/1.1" 200 26199
0:0:0:0:0:0:0:1 - - [05/Jan/2024:08:44:30 +0700] "GET /ShopLaptop/list_product?id=2 HTTP/1.1" 200 26209
0:0:0:0:0:0:0:1 - - [05/Jan/2024:08:44:31 +0700] "GET /ShopLaptop/list_product?id=3 HTTP/1.1" 200 26200
0:0:0:0:0:0:0:1 - - [05/Jan/2024:08:44:32 +0700] "GET /ShopLaptop/getallorder HTTP/1.1" 200 23375
0:0:0:0:0:0:0:1 - - [05/Jan/2024:08:44:32 +0700] "GET /ShopLaptop/views/admin/fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1" 200 77160
0:0:0:0:0:0:0:1 - - [05/Jan/2024:08:44:35 +0700] "GET /ShopLaptop/getall%C3%BA HTTP/1.1" 404 778
0:0:0:0:0:0:0:1 - - [05/Jan/2024:08:44:39 +0700] "GET /ShopLaptop/getall%C3%BA HTTP/1.1" 404 778
0:0:0:0:0:0:0:1 - - [05/Jan/2024:08:44:42 +0700] "GET /ShopLaptop/login?username=hieupham&password=hieupham510 HTTP/1.1" 200 43032
0:0:0:0:0:0:0:1 - - [05/Jan/2024:08:44:42 +0700] "GET /ShopLaptop/views/client/css/ajax-loader.gif HTTP/1.1" 404 810
0:0:0:0:0:0:0:1 - - [05/Jan/2024:08:44:43 +0700] "GET /ShopLaptop/home HTTP/1.1" 200 54678
0:0:0:0:0:0:0:1 - - [05/Jan/2024:08:44:44 +0700] "GET /ShopLaptop/getalluser HTTP/1.1" 200 23592
0:0:0:0:0:0:0:1 - - [05/Jan/2024:08:44:45 +0700] "GET /ShopLaptop/getallorder HTTP/1.1" 200 23464
0:0:0:0:0:0:0:1 - - [05/Jan/2024:08:44:46 +0700] "GET /ShopLaptop/list_product?id=3 HTTP/1.1" 200 26291
0:0:0:0:0:0:0:1 - - [05/Jan/2024:08:44:47 +0700] "GET /ShopLaptop/list_product?id=2 HTTP/1.1" 200 26300
0:0:0:0:0:0:0:1 - - [05/Jan/2024:08:44:47 +0700] "GET /ShopLaptop/list_product?id=1 HTTP/1.1" 200 26290
0:0:0:0:0:0:0:1 - - [05/Jan/2024:08:44:48 +0700] "GET /ShopLaptop/home HTTP/1.1" 200 54678
0:0:0:0:0:0:0:1 - - [05/Jan/2024:08:44:49 +0700] "GET /ShopLaptop/getallorder HTTP/1.1" 200 23464
0:0:0:0:0:0:0:1 - - [05/Jan/2024:08:45:14 +0700] "GET /ShopLaptop/getallorder HTTP/1.1" 200 23512
0:0:0:0:0:0:0:1 - - [05/Jan/2024:08:45:14 +0700] "GET /ShopLaptop/views/client/css/slick.css HTTP/1.1" 200 1776
0:0:0:0:0:0:0:1 - - [05/Jan/2024:08:45:14 +0700] "GET /ShopLaptop/views/client/css/bootstrap.min.css HTTP/1.1" 200 121200
0:0:0:0:0:0:0:1 - - [05/Jan/2024:08:45:14 +0700] "GET /ShopLaptop/views/client/css/slick-theme.css HTTP/1.1" 200 3145
0:0:0:0:0:0:0:1 - - [05/Jan/2024:08:45:14 +0700] "GET /ShopLaptop/views/client/css/nouislider.min.css HTTP/1.1" 200 3555
0:0:0:0:0:0:0:1 - - [05/Jan/2024:08:45:14 +0700] "GET /ShopLaptop/views/client/css/font-awesome.min.css HTTP/1.1" 200 31000
0:0:0:0:0:0:0:1 - - [05/Jan/2024:08:45:14 +0700] "GET /ShopLaptop/views/client/css/style.css HTTP/1.1" 200 39529
0:0:0:0:0:0:0:1 - - [05/Jan/2024:08:45:14 +0700] "GET /ShopLaptop/views/client/img/logo.png HTTP/1.1" 200 2251
0:0:0:0:0:0:0:1 - - [05/Jan/2024:08:45:14 +0700] "GET /ShopLaptop/views/client/js/jquery.min.js HTTP/1.1" 200 85578
0:0:0:0:0:0:0:1 - - [05/Jan/2024:08:45:14 +0700] "GET /ShopLaptop/views/client/js/bootstrap.min.js HTTP/1.1" 200 37045
0:0:0:0:0:0:0:1 - - [05/Jan/2024:08:45:14 +0700] "GET /ShopLaptop/views/client/js/slick.min.js HTTP/1.1" 200 42863
0:0:0:0:0:0:0:1 - - [05/Jan/2024:08:45:14 +0700] "GET /ShopLaptop/views/client/js/nouislider.min.js HTTP/1.1" 200 21184
0:0:0:0:0:0:0:1 - - [05/Jan/2024:08:45:14 +0700] "GET /ShopLaptop/views/client/js/jquery.zoom.min.js HTTP/1.1" 200 2607
0:0:0:0:0:0:0:1 - - [05/Jan/2024:08:45:15 +0700] "GET /ShopLaptop/views/client/js/main.js HTTP/1.1" 200 3620
0:0:0:0:0:0:0:1 - - [05/Jan/2024:08:45:15 +0700] "GET /ShopLaptop/views/admin/css/bootstrap.min.css HTTP/1.1" 200 121200
0:0:0:0:0:0:0:1 - - [05/Jan/2024:08:45:15 +0700] "GET /ShopLaptop/views/admin/css/slick.css HTTP/1.1" 200 1776
0:0:0:0:0:0:0:1 - - [05/Jan/2024:08:45:15 +0700] "GET /ShopLaptop/views/admin/css/slick-theme.css HTTP/1.1" 200 3145
0:0:0:0:0:0:0:1 - - [05/Jan/2024:08:45:15 +0700] "GET /ShopLaptop/views/admin/css/nouislider.min.css HTTP/1.1" 200 3555
0:0:0:0:0:0:0:1 - - [05/Jan/2024:08:45:15 +0700] "GET /ShopLaptop/views/admin/css/font-awesome.min.css HTTP/1.1" 200 31000
0:0:0:0:0:0:0:1 - - [05/Jan/2024:08:45:15 +0700] "GET /ShopLaptop/views/admin/css/style.css HTTP/1.1" 200 39529
0:0:0:0:0:0:0:1 - - [05/Jan/2024:08:45:15 +0700] "GET /ShopLaptop/views/admin/js/jquery.min.js HTTP/1.1" 200 85578
0:0:0:0:0:0:0:1 - - [05/Jan/2024:08:45:15 +0700] "GET /ShopLaptop/views/admin/js/bootstrap.min.js HTTP/1.1" 200 37045
0:0:0:0:0:0:0:1 - - [05/Jan/2024:08:45:15 +0700] "GET /ShopLaptop/views/admin/js/slick.min.js HTTP/1.1" 200 42863
0:0:0:0:0:0:0:1 - - [05/Jan/2024:08:45:15 +0700] "GET /ShopLaptop/views/admin/js/nouislider.min.js HTTP/1.1" 200 21184
0:0:0:0:0:0:0:1 - - [05/Jan/2024:08:45:15 +0700] "GET /ShopLaptop/views/admin/js/jquery.zoom.min.js HTTP/1.1" 200 2607
0:0:0:0:0:0:0:1 - - [05/Jan/2024:08:45:15 +0700] "GET /ShopLaptop/views/admin/js/main.js HTTP/1.1" 200 3620
0:0:0:0:0:0:0:1 - - [05/Jan/2024:08:45:16 +0700] "GET /ShopLaptop/views/client/fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1" 200 77160
0:0:0:0:0:0:0:1 - - [05/Jan/2024:08:45:16 +0700] "GET /ShopLaptop/views/admin/fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1" 200 77160
0:0:0:0:0:0:0:1 - - [05/Jan/2024:08:46:27 +0700] "GET /ShopLaptop/logout HTTP/1.1" 200 31324
0:0:0:0:0:0:0:1 - - [05/Jan/2024:08:46:27 +0700] "GET /ShopLaptop/image/ HTTP/1.1" 404 776
0:0:0:0:0:0:0:1 - - [05/Jan/2024:08:46:27 +0700] "GET /ShopLaptop/views/client/css/ajax-loader.gif HTTP/1.1" 404 810
0:0:0:0:0:0:0:1 - - [05/Jan/2024:08:46:27 +0700] "GET /ShopLaptop/image/ HTTP/1.1" 404 776
0:0:0:0:0:0:0:1 - - [05/Jan/2024:08:46:27 +0700] "GET /ShopLaptop/logout HTTP/1.1" 200 31324
0:0:0:0:0:0:0:1 - - [05/Jan/2024:08:46:32 +0700] "GET /ShopLaptop/home HTTP/1.1" 200 54587
0:0:0:0:0:0:0:1 - - [05/Jan/2024:08:46:32 +0700] "GET /ShopLaptop/image/Screenshot%202023-12-13%20170744.png HTTP/1.1" 200 36306
0:0:0:0:0:0:0:1 - - [05/Jan/2024:08:46:32 +0700] "GET /ShopLaptop/image/Screenshot%202023-12-13%20170437.png HTTP/1.1" 200 47369
0:0:0:0:0:0:0:1 - - [05/Jan/2024:08:46:32 +0700] "GET /ShopLaptop/image/Screenshot%202023-12-13%20094333.png HTTP/1.1" 200 97003
0:0:0:0:0:0:0:1 - - [05/Jan/2024:08:46:49 +0700] "GET /ShopLaptop/login?username=hieupham&password=hieupham510 HTTP/1.1" 200 43032
0:0:0:0:0:0:0:1 - - [05/Jan/2024:08:47:14 +0700] "GET /ShopLaptop/home HTTP/1.1" 200 54678
0:0:0:0:0:0:0:1 - - [05/Jan/2024:08:47:14 +0700] "GET /ShopLaptop/views/admin/css/slick.css HTTP/1.1" 200 1776
0:0:0:0:0:0:0:1 - - [05/Jan/2024:08:47:14 +0700] "GET /ShopLaptop/views/admin/css/bootstrap.min.css HTTP/1.1" 200 121200
0:0:0:0:0:0:0:1 - - [05/Jan/2024:08:47:14 +0700] "GET /ShopLaptop/views/admin/css/nouislider.min.css HTTP/1.1" 200 3555
0:0:0:0:0:0:0:1 - - [05/Jan/2024:08:47:14 +0700] "GET /ShopLaptop/views/admin/css/slick-theme.css HTTP/1.1" 200 3145
0:0:0:0:0:0:0:1 - - [05/Jan/2024:08:47:14 +0700] "GET /ShopLaptop/views/admin/css/style.css HTTP/1.1" 200 39529
0:0:0:0:0:0:0:1 - - [05/Jan/2024:08:47:14 +0700] "GET /ShopLaptop/views/admin/css/font-awesome.min.css HTTP/1.1" 200 31000
0:0:0:0:0:0:0:1 - - [05/Jan/2024:08:47:14 +0700] "GET /ShopLaptop/views/client/css/slick.css HTTP/1.1" 200 1776
0:0:0:0:0:0:0:1 - - [05/Jan/2024:08:47:14 +0700] "GET /ShopLaptop/views/client/css/bootstrap.min.css HTTP/1.1" 200 121200
0:0:0:0:0:0:0:1 - - [05/Jan/2024:08:47:14 +0700] "GET /ShopLaptop/views/client/css/slick-theme.css HTTP/1.1" 200 3145
0:0:0:0:0:0:0:1 - - [05/Jan/2024:08:47:14 +0700] "GET /ShopLaptop/views/client/css/nouislider.min.css HTTP/1.1" 200 3555
0:0:0:0:0:0:0:1 - - [05/Jan/2024:08:47:14 +0700] "GET /ShopLaptop/views/client/css/style.css HTTP/1.1" 200 39529
0:0:0:0:0:0:0:1 - - [05/Jan/2024:08:47:14 +0700] "GET /ShopLaptop/views/client/css/font-awesome.min.css HTTP/1.1" 200 31000
0:0:0:0:0:0:0:1 - - [05/Jan/2024:08:47:14 +0700] "GET /ShopLaptop/views/client/img/logo.png HTTP/1.1" 200 2251
0:0:0:0:0:0:0:1 - - [05/Jan/2024:08:47:14 +0700] "GET /ShopLaptop/views/client/js/jquery.min.js HTTP/1.1" 200 85578
0:0:0:0:0:0:0:1 - - [05/Jan/2024:08:47:14 +0700] "GET /ShopLaptop/views/client/js/bootstrap.min.js HTTP/1.1" 200 37045
0:0:0:0:0:0:0:1 - - [05/Jan/2024:08:47:14 +0700] "GET /ShopLaptop/views/client/js/slick.min.js HTTP/1.1" 200 42863
0:0:0:0:0:0:0:1 - - [05/Jan/2024:08:47:14 +0700] "GET /ShopLaptop/views/client/js/nouislider.min.js HTTP/1.1" 200 21184
0:0:0:0:0:0:0:1 - - [05/Jan/2024:08:47:14 +0700] "GET /ShopLaptop/views/client/js/jquery.zoom.min.js HTTP/1.1" 200 2607
0:0:0:0:0:0:0:1 - - [05/Jan/2024:08:47:14 +0700] "GET /ShopLaptop/views/client/js/main.js HTTP/1.1" 200 3620
0:0:0:0:0:0:0:1 - - [05/Jan/2024:08:47:14 +0700] "GET /ShopLaptop/image/Screenshot%202023-12-13%20170744.png HTTP/1.1" 200 36306
0:0:0:0:0:0:0:1 - - [05/Jan/2024:08:47:14 +0700] "GET /ShopLaptop/image/Screenshot%202023-12-13%20170437.png HTTP/1.1" 200 47369
0:0:0:0:0:0:0:1 - - [05/Jan/2024:08:47:14 +0700] "GET /ShopLaptop/views/admin/js/nouislider.min.js HTTP/1.1" 200 21184
0:0:0:0:0:0:0:1 - - [05/Jan/2024:08:47:14 +0700] "GET /ShopLaptop/views/admin/js/bootstrap.min.js HTTP/1.1" 200 37045
0:0:0:0:0:0:0:1 - - [05/Jan/2024:08:47:14 +0700] "GET /ShopLaptop/views/admin/js/slick.min.js HTTP/1.1" 200 42863
0:0:0:0:0:0:0:1 - - [05/Jan/2024:08:47:14 +0700] "GET /ShopLaptop/views/admin/js/jquery.min.js HTTP/1.1" 200 85578
0:0:0:0:0:0:0:1 - - [05/Jan/2024:08:47:14 +0700] "GET /ShopLaptop/views/admin/js/jquery.zoom.min.js HTTP/1.1" 200 2607
0:0:0:0:0:0:0:1 - - [05/Jan/2024:08:47:14 +0700] "GET /ShopLaptop/views/admin/js/main.js HTTP/1.1" 200 3620
0:0:0:0:0:0:0:1 - - [05/Jan/2024:08:47:14 +0700] "GET /ShopLaptop/image/Screenshot%202023-12-13%20094333.png HTTP/1.1" 200 97003
0:0:0:0:0:0:0:1 - - [05/Jan/2024:08:47:14 +0700] "GET /ShopLaptop/views/client/fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1" 200 77160
0:0:0:0:0:0:0:1 - - [05/Jan/2024:08:47:14 +0700] "GET /ShopLaptop/views/client/css/ajax-loader.gif HTTP/1.1" 404 810
0:0:0:0:0:0:0:1 - - [05/Jan/2024:08:47:16 +0700] "GET /ShopLaptop/logout HTTP/1.1" 200 31324
0:0:0:0:0:0:0:1 - - [05/Jan/2024:08:47:16 +0700] "GET /ShopLaptop/image/ HTTP/1.1" 404 776
0:0:0:0:0:0:0:1 - - [05/Jan/2024:08:47:16 +0700] "GET /ShopLaptop/image/ HTTP/1.1" 404 776
0:0:0:0:0:0:0:1 - - [05/Jan/2024:08:47:16 +0700] "GET /ShopLaptop/logout HTTP/1.1" 200 31324
0:0:0:0:0:0:0:1 - - [05/Jan/2024:08:47:20 +0700] "GET /ShopLaptop/logout HTTP/1.1" 200 42492
0:0:0:0:0:0:0:1 - - [05/Jan/2024:08:47:20 +0700] "GET /ShopLaptop/views/admin/css/bootstrap.min.css HTTP/1.1" 200 121200
0:0:0:0:0:0:0:1 - - [05/Jan/2024:08:47:20 +0700] "GET /ShopLaptop/views/admin/css/nouislider.min.css HTTP/1.1" 200 3555
0:0:0:0:0:0:0:1 - - [05/Jan/2024:08:47:20 +0700] "GET /ShopLaptop/views/admin/css/slick.css HTTP/1.1" 200 1776
0:0:0:0:0:0:0:1 - - [05/Jan/2024:08:47:20 +0700] "GET /ShopLaptop/views/admin/css/slick-theme.css HTTP/1.1" 200 3145
0:0:0:0:0:0:0:1 - - [05/Jan/2024:08:47:20 +0700] "GET /ShopLaptop/views/admin/css/font-awesome.min.css HTTP/1.1" 200 31000
0:0:0:0:0:0:0:1 - - [05/Jan/2024:08:47:20 +0700] "GET /ShopLaptop/views/admin/css/style.css HTTP/1.1" 200 39529
0:0:0:0:0:0:0:1 - - [05/Jan/2024:08:47:20 +0700] "GET /ShopLaptop/views/client/css/bootstrap.min.css HTTP/1.1" 200 121200
0:0:0:0:0:0:0:1 - - [05/Jan/2024:08:47:20 +0700] "GET /ShopLaptop/views/client/css/slick-theme.css HTTP/1.1" 200 3145
0:0:0:0:0:0:0:1 - - [05/Jan/2024:08:47:20 +0700] "GET /ShopLaptop/views/client/css/slick.css HTTP/1.1" 200 1776
0:0:0:0:0:0:0:1 - - [05/Jan/2024:08:47:20 +0700] "GET /ShopLaptop/views/client/css/nouislider.min.css HTTP/1.1" 200 3555
0:0:0:0:0:0:0:1 - - [05/Jan/2024:08:47:20 +0700] "GET /ShopLaptop/views/client/css/font-awesome.min.css HTTP/1.1" 200 31000
0:0:0:0:0:0:0:1 - - [05/Jan/2024:08:47:20 +0700] "GET /ShopLaptop/views/client/css/style.css HTTP/1.1" 200 39529
0:0:0:0:0:0:0:1 - - [05/Jan/2024:08:47:20 +0700] "GET /ShopLaptop/views/client/js/jquery.min.js HTTP/1.1" 200 85578
0:0:0:0:0:0:0:1 - - [05/Jan/2024:08:47:20 +0700] "GET /ShopLaptop/views/client/img/logo.png HTTP/1.1" 200 2251
0:0:0:0:0:0:0:1 - - [05/Jan/2024:08:47:20 +0700] "GET /ShopLaptop/views/client/js/bootstrap.min.js HTTP/1.1" 200 37045
0:0:0:0:0:0:0:1 - - [05/Jan/2024:08:47:20 +0700] "GET /ShopLaptop/views/client/js/slick.min.js HTTP/1.1" 200 42863
0:0:0:0:0:0:0:1 - - [05/Jan/2024:08:47:20 +0700] "GET /ShopLaptop/views/client/js/nouislider.min.js HTTP/1.1" 200 21184
0:0:0:0:0:0:0:1 - - [05/Jan/2024:08:47:20 +0700] "GET /ShopLaptop/views/client/js/jquery.zoom.min.js HTTP/1.1" 200 2607
0:0:0:0:0:0:0:1 - - [05/Jan/2024:08:47:20 +0700] "GET /ShopLaptop/views/client/js/main.js HTTP/1.1" 200 3620
0:0:0:0:0:0:0:1 - - [05/Jan/2024:08:47:20 +0700] "GET /ShopLaptop/views/admin/js/jquery.min.js HTTP/1.1" 200 85578
0:0:0:0:0:0:0:1 - - [05/Jan/2024:08:47:20 +0700] "GET /ShopLaptop/views/admin/js/bootstrap.min.js HTTP/1.1" 200 37045
0:0:0:0:0:0:0:1 - - [05/Jan/2024:08:47:20 +0700] "GET /ShopLaptop/views/admin/js/slick.min.js HTTP/1.1" 200 42863
0:0:0:0:0:0:0:1 - - [05/Jan/2024:08:47:20 +0700] "GET /ShopLaptop/views/admin/js/nouislider.min.js HTTP/1.1" 200 21184
0:0:0:0:0:0:0:1 - - [05/Jan/2024:08:47:20 +0700] "GET /ShopLaptop/views/admin/js/jquery.zoom.min.js HTTP/1.1" 200 2607
0:0:0:0:0:0:0:1 - - [05/Jan/2024:08:47:20 +0700] "GET /ShopLaptop/views/admin/js/main.js HTTP/1.1" 200 3620
0:0:0:0:0:0:0:1 - - [05/Jan/2024:08:47:21 +0700] "GET /ShopLaptop/views/client/fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1" 200 77160
0:0:0:0:0:0:0:1 - - [05/Jan/2024:08:47:21 +0700] "GET /ShopLaptop/views/client/css/ajax-loader.gif HTTP/1.1" 404 810
0:0:0:0:0:0:0:1 - - [05/Jan/2024:08:47:25 +0700] "GET /ShopLaptop/logout HTTP/1.1" 200 42492
0:0:0:0:0:0:0:1 - - [05/Jan/2024:08:47:25 +0700] "GET /ShopLaptop/views/admin/css/slick.css HTTP/1.1" 200 1776
0:0:0:0:0:0:0:1 - - [05/Jan/2024:08:47:25 +0700] "GET /ShopLaptop/views/admin/css/bootstrap.min.css HTTP/1.1" 200 121200
0:0:0:0:0:0:0:1 - - [05/Jan/2024:08:47:25 +0700] "GET /ShopLaptop/views/admin/css/slick-theme.css HTTP/1.1" 200 3145
0:0:0:0:0:0:0:1 - - [05/Jan/2024:08:47:25 +0700] "GET /ShopLaptop/views/admin/css/nouislider.min.css HTTP/1.1" 200 3555
